BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
Affenpinscher,,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",no,apartment ,moderate,yes,not particular,very independent,medium,seasonal,Affenpinscher
Afghan Hound,,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",no,apartment ,low,yes,meat rich,not independent,high,frequent,Afghan Hound
African Hunting Dog,,Hunting,,23,Wild,yes,ranch,high,no,meat rich,very independent,high,low,African Hunting Dog
Airedale Terrier,Airedale,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",no,independent house,high,yes,not particular,not independent,high,low,Airedale Terrier
Akbash,,Working,Guardian,53,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",yes,ranch,moderate,yes,meat rich,very independent,low,frequent,Akbash
Akita,,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",yes,ranch,high,no,not particular,not independent,high,frequent,Akita
Alaskan Malamute,Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",no,ranch,high,yes,meat rich,not independent,high,frequent,Alaskan Malamute
American Bulldog,,Working,Guardian,38,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",yes,ranch,low,yes,meat rich,not independent,high,low,American Bulldog
American Eskimo Dog,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",no,apartment ,high,yes,not particular,moderate,high,frequent,American Eskimo Dog
American Hairless Terrier,,Terrier,Terrier,5,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",no,apartment ,moderate,yes,not particular,not independent,high,low,American Hairless Terrier
American Staffordshire Terrier,,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",no,independent house,high,yes,not particular,not independent,medium,low,American Staffordshire Terrier
American Water Spaniel,,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",yes,ranch,moderate,yes,meat rich,not independent,high,seasonal,American Water Spaniel
Anatolian Shepherd,,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",yes,ranch,low,no,meat rich,moderate,medium,low,Anatolian Shepherd
Appenzell Mountain Dog,Appenzeller,Working,Guardian,27,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",yes,ranch,high,yes,meat rich,not independent,high,seasonal,Appenzell Mountain Dog
Australian Cattle Dog/Blue Heeler,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",yes,independent house,low,yes,meat rich,moderate,high,seasonal,Australian Cattle Dog/Blue Heeler
Australian Kelpie,Kelpie,Working,Herding,16,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",yes,independent house,high,no,meat rich,not independent,high,seasonal,Australian Kelpie
Australian Shepherd,,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",yes,ranch,high,yes,not particular,not independent,high,seasonal,Australian Shepherd
Australian Terrier,,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",no,apartment ,high,yes,not particular,not independent,high,low,Australian Terrier
Bakharwal,,Herding,Hunting,,"Courageous, Obedient, Loyal, Protective, Loving",yes,ranch,high,yes,meat rich,very independent,high,seasonal,Bakharwal
